geneID	Glc1	Glc2	Glc3	Lac1	Lac2	Lac3	LNT1	LNT2	LNT3	XGL1	XGL2	XGL3
BcK1E1_00001	48607.03027917396	37976.98889930811	36166.9973736154	28588.019981523965	31025.031741870054	31016.021846534753	32486.02922391246	40056.009022544575	41567.01643939954	29821.02280169947	31145.003279114273	34511.9622503633
BcK1E1_00002	26165.986031004297	19282.019224794938	21169.007198111743	19984.01520813181	22254.991289383615	21704.980501129263	15550.018724098918	20373.024432757695	19910.002954825322	16666.984961779464	15310.996530594099	20361.001374304895
BcK1E1_00003	3223.003722347046	2595.001725703654	2339.997341661077	2908.996344790002	3261.0020417960554	3064.999451470143	2944.000983744788	3738.000885602617	3881.9988859618857	2691.997844544973	2447.997662410786	3250.002055446695
BcK1E1_00004	602.9996286762185	531.999529619938	522.9997604690307	430.9990714474011	501.00025200599316	433.00025359723014	429.0006950999323	564.0002649054486	576.0007065688586	368.00072919517277	441.0006799371394	419.0001331546135
BcK1E1_00005	56817.00596073752	47292.00653035352	44045.96348407255	67658.95880319175	75560.04937542458	71476.99461901307	58736.02201373739	68143.02177336809	72988.97521474784	54516.02739604297	56915.93675620152	58613.95531936795
BcK1E1_00006	68302.96313362686	56835.00544599167	52435.964951308066	81769.97835726225	91183.97878116566	83956.05722420827	73810.96022938752	81759.9402005363	92186.95747185002	62662.01434278497	69025.0401794093	74418.98076454308
BcK1E1_00007	20016.001869149146	16811.99787709051	17871.996326054203	18597.990392852367	20582.992399832703	18881.00572798641	16197.004708183751	19892.00489185479	16740.987340218842	15423.002479611867	14932.991081416723	20027.00591866466
BcK1E1_00008	51680.02508193421	35695.99075856068	44213.99786809757	19689.008119437236	22785.022339722444	20325.98508725063	20605.99876099273	27685.032259945347	25619.966054507342	36718.98529515682	29992.989756179148	34284.00686048662
BcK1E1_00009	461.00041336815923	370.99959780619184	374.9991957453337	396.0002440575417	415.9997604652246	423.9991420709812	402.0003734530325	477.0008540710307	443.00086063483195	364.99986942326944	335.99941476399806	435.00096638701564
BcK1E1_00010	3364.999720722146	3021.0017923564815	2525.999448325639	1870.9985517324385	1967.999137996114	2047.9995676686794	1816.9992589816657	2251.0011117016747	1980.9997169092676	1799.998976891035	1464.9999141644882	1946.0016935298943
BcK1E1_00011	4484.998274974672	3790.0024606290494	3132.998824674229	3005.0025620558026	3216.0045967863853	3267.9975125567667	2912.0020761680694	3711.999752453073	3387.9957325711853	2825.0042046327812	2525.002295646148	2614.9982381622913
BcK1E1_00012	453.00029511784845	411.00002751224224	340.00011134299893	511.9994053896611	565.9998430313053	489.00040746192053	484.9996405831159	611.0000145381127	671.9999403938218	444.00032307401676	452.9999419016786	479.99944394357925
BcK1E1_00013	180.0003191797799	216.99978439438513	199.99986064520556	99.99978470982816	131.99972735396167	119.00000593834156	123.00009426117445	137.00022465146213	167.00039413240762	128.99977501187217	150.00003140219917	167.99978510007142
BcK1E1_00014	272.0002902716912	245.00015816427884	220.9997105526891	88.00016009753077	81.00008238017195	109.00024485514413	99.99975736663703	124.9997163021442	137.00005410184534	103.99987925417379	88.00028008565107	103.99966319917458
BcK1E1_00015	8.000005276428983	2.9999926874587586	3.9999928823415427	2.9999899295109014	2.9999953880304515	6.000011632267185	2.000006931034741	1.9999988243280735	5.00000700775415	5.000007587862639	3.000001303253391	1.9999996987995505
BcK1E1_00016	299.99990855060037	292.0000987387197	238.00024644630065	244.00089916257807	306.99973301245996	293.00018897990196	294.0003861796857	364.99994160342595	419.9992840091731	316.9994043279223	316.99928323490394	320.0009948279295
BcK1E1_00017	5078.010287573067	4002.001583552777	4520.986933107691	2770.9990095831927	3082.0005733124362	2898.99935880358	2252.0007479989767	2478.998752427287	2807.000877748312	2156.00183737162	1672.9989236997915	2362.000271965928
