genome_ID	genome_name	curated_taxonomy	Glc	Gal	Rib	GlcNAc	Chb	GlcNAc6S	Fuc	Neu5Ac	ManNAc	LNB	LNT	LNnT	2'FL	3FL	LDFT	LNFPI	lcFHMO	SHMO	Nglyc	Ncore	GalNAc	GNB	Tan	Muc	Mal	MOS	ST	RST	PUL	IMO	Mlz	BglOS	BGL12	Mel	RFO	Lac	GOS	PG	AGII	GalAf	GA	Fru	Scr	scFOS	lcFOS	DFA	Man	bMnOS	GmOS	bMAN	Xyl	XOS	AXOS	XL	AX	Ara	aAOS	bAOS	AR	HRGP	XglOS	XGL	GlcA	GluA	GalA	Gco	Glt	Ino	Mtl	Stl	Asc	L-Xul	continent	country	non_westernized	microbiota_age_group
1207542.9	Bifidobacterium bifidum LMG 13195 = JCM 7004	Bifidobacterium bifidum	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Europe	Germany	no	child
1254439.12	Bifidobacterium thermophilum RBL67	Bifidobacterium thermophilum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	North_America	Canada	no	child
1300227.3	Bifidobacterium longum subsp. longum GT15	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Russia	no	adult
1322347.4	Bifidobacterium longum subsp. longum E18	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Europe	Germany	no	adult
1350471.3	Bifidobacterium longum subsp. longum 1-5B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Russia	no	NA
1350472.3	Bifidobacterium longum subsp. longum 7-1B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Russia	no	NA
1350472.4	Bifidobacterium longum subsp. longum MCC10007	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	NA
1350473.3	Bifidobacterium longum subsp. longum 17-1B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Europe	Russia	no	NA
1365960.3	Bifidobacterium breve MCC 0121	Bifidobacterium breve	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Asia	Japan	no	child
1365961.3	Bifidobacterium breve MCC 0305	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	adult
1365962.3	Bifidobacterium breve MCC 0476	Bifidobacterium breve	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	adult
1365963.3	Bifidobacterium breve MCC 1094	Bifidobacterium breve	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	child
1365964.3	Bifidobacterium breve MCC 1114	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	child
1365965.3	Bifidobacterium breve MCC 1128	Bifidobacterium breve	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	Asia	Japan	no	child
1365966.3	Bifidobacterium breve MCC 1340	Bifidobacterium breve	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	child
1365968.3	Bifidobacterium breve MCC 1604	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Asia	Japan	no	adult
1365969.3	Bifidobacterium breve MCC 1605	Bifidobacterium breve	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	adult
1385938.3	Bifidobacterium breve 12L	Bifidobacterium breve	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Italy	no	NA
1385939.3	Bifidobacterium breve JCM 7017	Bifidobacterium breve	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	child
1385940.3	Bifidobacterium breve JCM 7019	Bifidobacterium breve	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Asia	Japan	no	adult
1385941.3	Bifidobacterium breve NCFB 2258	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Europe	UK	no	child
1385942.3	Bifidobacterium breve 689b	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	Europe	Italy	no	child
1437612.3	Bifidobacterium adolescentis JCM 15918	Bifidobacterium adolescentis	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Asia	South_Korea	no	adult
