curated_taxonomy	odds_ratio	conf_int_low	conf_int_high	p_value	p_adj
adolescentis	0.8324199958068278	0.5350123771544569	1.2554571403572423	0.43444270073624375	0.7686293936102774
angulatum	0	0	15.290964305600815	1.0000000000000002	1
animalis_animalis	0	0	539.9006224297652	0.9999999999999999	1
animalis_lactis	1.2703990097524347	0.02937556979502469	8.819453660571808	0.564681530532066	0.8886581615986734
bifidum	0.48905873777472847	0.2656128993821735	0.8382157422899527	0.0057642012876525095	0.016572078702000965
breve	1.5990267374848794	1.027283436880378	2.4188133650084005	0.029391046616230623	0.07511045246370048
catenulatum	0.5431718951935878	0.06360423347408377	2.0915074673535177	0.5795596706078304	0.8886581615986734
dentium	0.26137980996659954	0.031024185607680842	0.9810688168857701	0.04519262609538871	0.10394304001939403
gallicum	0	0	539.9006224297652	0.9999999999999999	1
globosum	4.015305566253247	0.4044812957940255	21.267418739978545	0.11734901120835502	0.2453661143447423
hominis	28.546548569946168	11.855827566033666	73.76091539960062	1.0238544204039761e-14	1.1774325834645725e-13
kashiwanohense	0.4203340193572633	0.010284220739492806	2.5380610461574142	0.7247769919026349	1
kashiwanohense_A	Inf	89.25587756540222	Inf	2.868127141019537e-28	6.596692424344934e-27
longum_infantis	4.98080759308063	3.2425963004891476	7.516896419629966	2.3795262458462446e-12	1.8243034551487877e-11
longum_longum	0.2597594621446768	0.1594748993986478	0.40531667982588615	4.97035788519493e-12	2.8579557839870845e-11
longum_nov	0	0	1.5956267911637705	0.16649999796663342	0.31912499610271405
longum_suis	14.51718085291501	5.044119298126216	41.83042202593595	6.431112774880449e-7	2.958311876445006e-6
pseudocatenulatum	0.40029845885472654	0.20131097260539593	0.7245575070277098	0.0011187066814894045	0.0036799500611128847
pullorum	0	0	15.290964305600815	1.0000000000000002	1
ruminantium	42.32370163696183	3.382194671427356	2196.871987996994	0.0011199848012082693	0.0036799500611128847
scardovii	0	0	6.254541562107008	0.9999999999999998	1
thermophilum	0	0	539.9006224297652	0.9999999999999999	1
tsurumiense	0	0	74.379034823943	1	1
