contrast	estimate	SE	df	z.ratio	p.value
Bifidobacterium angulatum - Bifidobacterium animalis subsp. lactis	0.40162633180100127	0.1492687747261658	Inf	2.6906252331593565	1
Bifidobacterium angulatum - Bifidobacterium bifidum	0.24039071222867323	0.12461615758223553	Inf	1.9290493054244338	1
Bifidobacterium angulatum - Bifidobacterium breve	-0.23395099693746793	0.12454850181924301	Inf	-1.878392702603525	1
Bifidobacterium angulatum - Bifidobacterium catenulatum subsp. catenulatum	0.14484270090045884	0.12818205993456547	Inf	1.1299763865114847	1
Bifidobacterium angulatum - Bifidobacterium catenulatum subsp. kashiwanohense	-0.2030835482423786	0.13075528345542886	Inf	-1.5531574929559506	1
Bifidobacterium angulatum - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.16290347093686788	0.15870896935339543	Inf	-1.0264288880493742	1
Bifidobacterium angulatum - Bifidobacterium dentium	-0.30219883405345793	0.1253254533721707	Inf	-2.4113125141150547	1
Bifidobacterium angulatum - Bifidobacterium gallicum	0.6778797084291186	0.32602715576113245	Inf	2.079212410532376	1
Bifidobacterium angulatum - Bifidobacterium longum subsp. infantis	-0.33753268210764453	0.12494692176591324	Inf	-2.7014085448220047	1
Bifidobacterium angulatum - Bifidobacterium longum subsp. longum	-0.2923132418273494	0.12417978492878881	Inf	-2.353951909281991	1
Bifidobacterium angulatum - Bifidobacterium longum subsp. suis	-0.2468600779314953	0.13337339141441204	Inf	-1.8508945098686314	1
Bifidobacterium angulatum - Bifidobacterium pseudocatenulatum	-0.1959712998241174	0.12442727922013037	Inf	-1.5749866191111919	1
Bifidobacterium angulatum - Bifidobacterium pseudolongum subsp. globosum	-0.06513930217096134	0.1441874501601096	Inf	-0.45176818161794885	1
Bifidobacterium angulatum - Bifidobacterium pullorum	-0.1269714617107768	0.15334502492974317	Inf	-0.8280116147814399	1
Bifidobacterium angulatum - Bifidobacterium ruminantium	0.10536051565782642	0.20254787341610578	Inf	0.5201758669733265	1
Bifidobacterium angulatum - Bifidobacterium scardovii	-0.3029495445825666	0.14514280404629076	Inf	-2.0872515628535475	1
Bifidobacterium angulatum - Bifidobacterium sp002742445	-0.02281467776617374	0.1337567981402192	Inf	-0.17056836051246368	1
Bifidobacterium angulatum - Bifidobacterium thermophilum	0.5908683314395292	0.3141941258488499	Inf	1.8805836354934897	1
Bifidobacterium angulatum - Bifidobacterium tsurumiense	-0.45058554338863377	0.17346612850220278	Inf	-2.597541936741339	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium animalis subsp. lactis	0.15906469462971223	0.2563592813521918	Inf	0.620475661309043	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium bifidum	-0.002170924942615768	0.24283348360084522	Inf	-0.008939973641296523	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium breve	-0.47651263410875694	0.24279877127485502	Inf	-1.962582560063005	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium catenulatum subsp. catenulatum	-0.09771893627083016	0.24468255866781746	Inf	-0.39937025672309556	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium catenulatum subsp. kashiwanohense	-0.4456451854136676	0.24604035884112782	Inf	-1.811268637034576	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.4054651081081569	0.26196841599776566	Inf	-1.5477633307963932	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium dentium	-0.5447604712247469	0.24319823866570567	Inf	-2.2399852655740706	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium gallicum	0.43531807125782956	0.3869529949759468	Inf	1.1249895385481876	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium longum subsp. infantis	-0.5800943192789335	0.24300338945360134	Inf	-2.387186123548683	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium longum subsp. longum	-0.5348748789986384	0.24260983700609018	Inf	-2.204671029003707	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium longum subsp. suis	-0.4894217151027843	0.247441660931508	Inf	-1.9779276992416268	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium pseudocatenulatum	-0.4385329369954064	0.24273661001440575	Inf	-1.8066205051202646	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium pseudolongum subsp. globosum	-0.30770093934225035	0.2534342810490236	Inf	-1.2141251691310442	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium pullorum	-0.3695330988820658	0.2587539578400009	Inf	-1.4281253974502088	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium ruminantium	-0.1372011215134626	0.2906278635171587	Inf	-0.47208522903848216	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium scardovii	-0.5455111817538556	0.2539790298303806	Inf	-2.147859144584394	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium sp002742445	-0.2653763149374627	0.24764853134207107	Inf	-1.0715844487319195	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium thermophilum	0.34830669426824024	0.37703695143193106	Inf	0.9237998900251619	1
Bifidobacterium animalis subsp. animalis - Bifidobacterium tsurumiense	-0.6931471805599227	0.271163072273317	Inf	-2.5562004986478017	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium bifidum	-0.16123561957232802	0.08391140011707994	Inf	-1.9214983821907285	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium breve	-0.6355773287384692	0.08381089215887219	Inf	-7.583469312481089	8.511809205020011e-12
Bifidobacterium animalis subsp. lactis - Bifidobacterium catenulatum subsp. catenulatum	-0.2567836309005424	0.08912113569808598	Inf	-2.8812876865757584	1
Bifidobacterium animalis subsp. lactis - Bifidobacterium catenulatum subsp. kashiwanohense	-0.6047098800433799	0.09278405299704155	Inf	-6.517390225049355	1.8099908467897404e-8
Bifidobacterium animalis subsp. lactis - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.5645298027378691	0.12923031104297913	Inf	-4.368400866497327	0.003166538031242438
