locus_tag	seed_id
BcK1E1_00708	fig|630129.38.peg.717
BcK1E1_00705	fig|630129.38.peg.714
BcK1E1_00297	fig|630129.38.peg.308
BcK1E1_00337	fig|630129.38.peg.348
BcK1E1_01265	fig|630129.38.peg.1276
BcK1E1_01254	fig|630129.38.peg.1265
BcK1E1_01268	fig|630129.38.peg.1279
BcK1E1_01752	fig|630129.38.peg.1784
BcK1E1_01554	fig|630129.38.peg.1580
BcK1E1_01565	fig|630129.38.peg.1591
BcK1E1_00597	fig|630129.38.peg.610
BcK1E1_00627	fig|630129.38.peg.636
BcK1E1_01315	fig|630129.38.peg.1331
BcK1E1_01348	fig|630129.38.peg.1365
BcK1E1_01373	fig|630129.38.peg.1392
BcK1E1_00371	fig|630129.38.peg.379
BcK1E1_01345	fig|630129.38.peg.1360
BcK1E1_01318	fig|630129.38.peg.1334
BcK1E1_01248	fig|630129.38.peg.1260
BcK1E1_01273	fig|630129.38.peg.1284
BcK1E1_01215	fig|630129.38.peg.1228
BcK1E1_01218	fig|630129.38.peg.1230
BcK1E1_01727	-
BcK1E1_00271	fig|630129.38.peg.282
BcK1E1_01245	fig|630129.38.peg.1257
BcK1E1_00243	fig|630129.38.peg.255
BcK1E1_00278	fig|630129.38.peg.290
BcK1E1_01211	fig|630129.38.peg.1225
BcK1E1_00213	fig|630129.38.peg.223
BcK1E1_00275	fig|630129.38.peg.286
BcK1E1_01241	fig|630129.38.peg.1253
BcK1E1_01311	fig|630129.38.peg.1326
BcK1E1_00343	fig|630129.38.peg.354
BcK1E1_00378	fig|630129.38.peg.386
BcK1E1_00375	fig|630129.38.peg.383
BcK1E1_01341	fig|630129.38.peg.1356
BcK1E1_00563	fig|630129.38.peg.574
BcK1E1_01561	fig|630129.38.peg.1587
BcK1E1_00056	fig|630129.38.peg.55
BcK1E1_01650	fig|630129.38.peg.1679
BcK1E1_01261	fig|630129.38.peg.1272
BcK1E1_00263	fig|630129.38.peg.280
BcK1E1_01703	fig|630129.38.peg.1734
BcK1E1_00701	fig|630129.38.peg.710
BcK1E1_01541	fig|630129.38.peg.1566
BcK1E1_00575	fig|630129.38.peg.587
BcK1E1_00513	fig|630129.38.peg.521
